Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,CKB-1,10087,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:44,01-04-2026 12:44,,,15-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d2dae24,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0009r:,,,CKB Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 12:44
TEST CASES FOR SIGN UP BUTTON,CKB-12,10101,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:11,01-04-2026 14:11,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@af347be,,,,,,,,,,,,,,,,0|i000c7:,,,CKB Sprint 1,,,,,,,,,,,,10090,CKB-4,WRITE FUNCTIONALITY TEST CASES FOR REGISTRATION MODULE,To Do,01-04-2026 14:11
WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,CKB-13,10102,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:17,01-04-2026 14:17,01-04-2026 14:17,,04-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8804d73,,,,,,,,,,,,,,,,0|i000cf:,,,CKB Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 14:17
TEST CASES FOR EMAIL ID FIELD,CKB-14,10104,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:18,01-04-2026 14:18,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50445815,,,,,,,,,,,,,,,,0|i000cn:,,,CKB Sprint 1,,,,,,,,,,,,10102,CKB-13,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:18
TEST CASES FOR MOBILE NUMBER FIELD,CKB-15,10106,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:18,01-04-2026 14:18,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4264825c,,,,,,,,,,,,,,,,0|i000cv:,,,CKB Sprint 1,,,,,,,,,,,,10102,CKB-13,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:18
TEST CASES FOR PASSWORD FIELD,CKB-16,10108,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:18,01-04-2026 14:18,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@692c7f2a,,,,,,,,,,,,,,,,0|i000d3:,,,CKB Sprint 1,,,,,,,,,,,,10102,CKB-13,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:18
TEST CASES FOR LOGIN BUTTON,CKB-17,10110,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:19,01-04-2026 14:19,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@264069ca,,,,,,,,,,,,,,,,0|i000db:,,,CKB Sprint 1,,,,,,,,,,,,10102,CKB-13,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:19
TEST CASES FOR FORGOT PASSWORD LINK,CKB-18,10112,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 14:19,01-04-2026 14:19,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25cd465c,,,,,,,,,,,,,,,,0|i000dj:,,,CKB Sprint 1,,,,,,,,,,,,10102,CKB-13,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,01-04-2026 14:19
HOMEPAGE,CKB-19,10145,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:51,02-04-2026 09:56,02-04-2026 09:54,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ffa3b,,,,,,,,,,,,,,,,0|i000dr:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10146,CKB-20,HOMEPAGE,To Do,02-04-2026 09:51
HOMEPAGE,CKB-20,10146,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:56,02-04-2026 09:56,,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69190a5b,,,,,ghx-label-11,,To Do,,,,teal,,,,,0|i000dz:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 09:56
WRITE FUNCTIONALITY TEST CASES FOR HOMEPAGE MODULE,CKB-21,10147,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:57,02-04-2026 09:57,02-04-2026 09:58,,04-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7cfe6fb1,,,,,,,,,,,,,,,,0|i000e7:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 09:57
TEST CASES FOR NAVIGATION ,CKB-22,10149,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:58,02-04-2026 09:58,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34856da1,,,,,,,,,,,,,,,,0|i000ef:,,,CKB Sprint 1,,,,,,,,,,,,10147,CKB-21,WRITE FUNCTIONALITY TEST CASES FOR HOMEPAGE MODULE,To Do,02-04-2026 09:58
TEST CASES FOR HEADER SECTION,CKB-23,10151,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:58,02-04-2026 09:58,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@156d2a6,,,,,,,,,,,,,,,,0|i000en:,,,CKB Sprint 1,,,,,,,,,,,,10147,CKB-21,WRITE FUNCTIONALITY TEST CASES FOR HOMEPAGE MODULE,To Do,02-04-2026 09:58
TEST CASES FOR PROFILE MANAGEMENT,CKB-24,10153,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 09:59,02-04-2026 09:59,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35e412c3,,,,,,,,,,,,,,,,0|i000ev:,,,CKB Sprint 1,,,,,,,,,,,,10147,CKB-21,WRITE FUNCTIONALITY TEST CASES FOR HOMEPAGE MODULE,To Do,02-04-2026 09:59
COURSE LISTING PAGE,CKB-25,10154,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:01,02-04-2026 10:01,,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59023631,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i000f3:,,,,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:01
COURSE LISTING PAGE,CKB-26,10155,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:02,02-04-2026 10:02,,,05-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eed30c2,,,,,,,,,,,,,,,,0|i000fb:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10154,CKB-25,COURSE LISTING PAGE,To Do,02-04-2026 10:02
WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,CKB-27,10156,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:04,02-04-2026 10:04,02-04-2026 10:05,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35930d3,,,,,,,,,,,,,,,,0|i000fj:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:04
TEST CASES FOR NAVIGATION,CKB-28,10158,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:05,02-04-2026 10:05,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2233a931,,,,,,,,,,,,,,,,0|i000fr:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:05
TEST CASES FOR COURSE THUMBNAIL,CKB-29,10160,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:05,02-04-2026 10:05,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d3fc921,,,,,,,,,,,,,,,,0|i000fz:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:05
TEST CASES FORCOURSE TITLE,CKB-30,10162,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:05,02-04-2026 10:05,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@640f5aec,,,,,,,,,,,,,,,,0|i000g7:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:05
TEST CASES FOR INSTRUCTOR NAME,CKB-31,10164,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:06,02-04-2026 10:06,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7540a8bd,,,,,,,,,,,,,,,,0|i000gf:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:06
